,Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y,deteriorated,dist
1507,I-16,WB,16.68784868,16.68472178,1535,16.51,SS,SS,SS,SS,SS,,,,,0,-83.46812059101859,32.66982202752029,0,0
1508,I-16,WB,16.68472178,16.68161762,1536,16.39,NC,NC,NC,NC,NC,,,,,0,-83.46816555890148,32.66984731070644,0,1
1509,I-16,WB,16.68161762,16.67746989,1537,21.9,NC,NC,NC,NC,NC,,,,,0,-83.46821019994184,32.66987241048732,0,1
1510,I-16,WB,16.67746989,16.67305511,1538,23.31,L1,L1,L1,L2,CC,,,,,0,-83.46826984843159,32.66990594888512,0,0
1511,I-16,WB,16.67305511,16.66981837,1539,17.09,NC,NC,NC,NC,NC,,,,,0,-83.46833333730072,32.66994164730958,0,1
1512,I-16,WB,16.66981837,16.66684299,1540,15.71,L1,L1,L1,L1,L1,,,,,0,-83.46837988490815,32.669967820495074,0,0
1513,I-16,WB,16.66684299,16.66267443,1541,22.01,L2,L2,L2,L2,L2,,,,,0,-83.46842267384253,32.66999188056915,0,0
1514,I-16,WB,16.66267443,16.658307,1542,23.06,NC,NC,NC,NC,NC,,,,,0,-83.46848262192724,32.67002558972947,0,1
1515,I-16,WB,16.658307,16.6550892,1543,16.99,NC,NC,NC,NC,NC,,,,,0,-83.46854542986777,32.67006090770238,0,2
1516,I-16,WB,16.6550892,16.65205889,1544,16.0,NC,NC,NC,T1,T1,,,,,0,-83.4685917051005,32.67008692951477,0,1
1517,I-16,WB,16.65205889,16.64793011,1545,21.8,SS,SS,SS,SS,SS,,,,,0,-83.46863528389383,32.67011143540291,0,0
1518,I-16,WB,16.64793011,16.64355321,1546,23.11,T2,T2,T2,T2,T2,,,,,0,-83.46869465999755,32.670144825225314,0,0
1519,I-16,WB,16.64355321,16.64032025,1547,17.07,R,R,R,R,R,1.0,2015.0,1.0,,0,-83.46875760411201,32.670180222198084,0,0
1520,I-16,WB,16.64032025,16.63728616,1548,16.02,NC,NC,NC,NC,NC,,,,,0,-83.46880409723143,32.670206368329495,0,1
1521,I-16,WB,16.63728616,16.63313465,1549,21.92,NC,NC,NC,NC,NC,,,,,0,-83.46884773049143,32.67023090653321,0,1
1522,I-16,WB,16.63313465,16.62876343,1550,23.08,T2,T2,T2,T2,T2,,,,,0,-83.46890743342672,32.67026448245915,0,0
1523,I-16,WB,16.62876343,16.62557972,1551,16.81,NC,NC,T1,T2,T2,,,,,0,-83.46897029582107,32.670299835913454,0,1
1524,I-16,WB,16.62557972,16.62256078,1552,15.94,NC,NC,NC,NC,NC,,,,,0,-83.46901608077798,32.67032558557208,0,1
1525,I-16,WB,16.62256078,16.61839601,1553,21.99,SS,SS,SS,SS,SS,,,,,0,-83.46905949613722,32.67035000291301,0,0
1526,I-16,WB,16.61839601,16.61393767,1554,23.54,SS,SS,SS,SS,SS,,,,,0,-83.46911938972028,32.670383688373235,0,0
1527,I-16,WB,16.61393767,16.61136381,1555,13.59,R,R,R,R,R,,,,,1,-83.4691835049945,32.670419748930705,0,0
1528,I-16,WB,16.61136381,16.60719146,1556,22.03,T2,T2,T2,T2,T2,,,,,0,-83.46922051971595,32.67044056758656,0,0
1529,I-16,WB,16.60719146,16.60472744,1557,13.01,R,R,R,R,R,,,,,1,-83.46928052223875,32.67047431608646,0,0
1530,I-16,WB,16.60472744,16.60228994,1558,12.87,R,R,R,R,R,,,,,1,-83.46931595722708,32.670494246858595,0,0
1531,I-16,WB,16.60228994,16.59985054,1559,12.88,R,R,R,R,R,,,,,1,-83.46935101090024,32.67051396338288,0,0
1532,I-16,WB,16.59985054,16.59661001,1560,17.11,T2,T2,T2,T2,SS,,,,,0,-83.46938609180921,32.670533695452264,0,0
1533,I-16,WB,16.59548312,16.59180698,1562,19.41,SS,SS,SS,SS,SS,,,,,0,-83.4694326938538,32.67055990819756,0,0
1534,I-16,WB,16.59180698,16.58763084,1563,22.05,SS,SS,SS,SS,SS,,,,,0,-83.46948556034428,32.670589645053425,0,0
