Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y
I-16,WB,19.78677959,19.78357505,655,16.92,NC,NC,NC,NC,NC,,,,,0,-83.42364050820454,32.650615285441134
I-16,WB,19.78357505,19.7792152,656,23.02,NC,NC,NC,NC,NC,,,,,0,-83.42368667406568,32.65062484842429
I-16,WB,19.7792152,19.77505232,657,21.98,NC,NC,NC,NC,NC,,,,,0,-83.42374948364697,32.650637859282305
I-16,WB,19.77505232,19.77202012,658,16.01,NC,NC,NC,NC,NC,,,,,0,-83.42380945560984,32.65065028258195
I-16,WB,19.77202012,19.76879095,659,17.05,NC,NC,NC,NC,NC,,,,,0,-83.42385313855428,32.65065933173602
I-16,WB,19.76879095,19.7644311,660,23.02,NC,NC,NC,NC,NC,,,,,0,-83.4238996591163,32.650668968858525
I-16,WB,19.7644311,19.75997656,661,23.52,NC,NC,NC,NC,NC,,,,,0,-83.42396246869576,32.65068198061573
I-16,WB,19.75997656,19.75697466,662,15.85,NC,NC,NC,NC,NC,,,,,0,-83.42402664251401,32.65069527526581
I-16,WB,19.75697466,19.75257314,663,23.24,NC,NC,NC,NC,NC,,,,,0,-83.42406988890055,32.65070423461699
I-16,WB,19.75257314,19.74843678,664,21.84,T2,T2,T2,T2,T2,,,,,0,-83.42413329874383,32.65071737145557
I-16,WB,19.74843678,19.74541026,665,15.98,NC,NC,NC,NC,NC,,,,,0,-83.42419288871652,32.65072971716663
I-16,WB,19.74541026,19.7422417,666,16.73,NC,NC,NC,NC,NC,,,,,0,-83.42423648980427,32.650738750491975
I-16,WB,19.7422417,19.73778715,667,23.52,NC,NC,NC,NC,NC,,,,,0,-83.42428213725069,32.650748207922156
I-16,WB,19.73778715,19.73365458,668,21.82,NC,NC,NC,NC,NC,,,,,0,-83.42434631106609,32.65076150395951
I-16,WB,19.73365458,19.73065268,669,15.85,NC,NC,NC,NC,NC,,,,,0,-83.42440584646744,32.6507738392245
