Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR
I-16,WB,17.6533774,17.6504077,1256,15.68,R,R,R,R,R,1,2015,1,
I-16,WB,17.6504077,17.64621262,1257,22.15,R,R,R,R,R,1,2015,1,
I-16,WB,17.64621262,17.64176565,1258,23.48,NC,NC,NC,NC,NC,,,,
I-16,WB,17.64176565,17.63863686,1259,16.52,NC,NC,NC,NC,NC,,,,
I-16,WB,17.63863686,17.63546451,1260,16.75,NC,NC,NC,NC,NC,,,,
I-16,WB,17.63546451,17.632438,1261,15.98,NC,NC,NC,NC,NC,,,,
I-16,WB,17.632438,17.62827322,1262,21.99,NC,NC,NC,NC,NC,,,,
I-16,WB,17.62827322,17.62387928,1263,23.2,NC,NC,NC,NC,NC,,,,
I-16,WB,17.62387928,17.61945693,1264,23.35,T2,T2,T2,T2,T2,,,,
I-16,WB,17.61945693,17.61622398,1265,17.07,NC,L1,L1,L1,L2,,,,
I-16,WB,17.61622398,17.61329784,1266,15.45,NC,NC,NC,NC,NC,,,,
I-16,WB,17.61329784,17.60906488,1267,22.35,NC,NC,NC,NC,NC,,,,
I-16,WB,17.60906488,17.60468799,1268,23.11,NC,NC,NC,NC,NC,,,,
I-16,WB,17.60468799,17.60144367,1269,17.13,NC,NC,NC,NC,NC,,,,
I-16,WB,17.60144367,17.59838117,1270,16.17,NC,NC,NC,NC,NC,,,,
I-16,WB,17.59838117,17.59429026,1271,21.6,NC,NC,NC,NC,NC,,,,
I-16,WB,17.59429026,17.58987169,1272,23.33,SS,SS,SS,SS,SS,,,,
I-16,WB,17.58987169,17.58663306,1273,17.1,NC,NC,NC,NC,NC,,,,
I-16,WB,17.58663306,17.58358381,1274,16.1,NC,NC,NC,NC,NC,,,,
I-16,WB,17.58358381,17.58121639,1275,12.5,NC,NC,NC,NC,NC,,,,
I-16,WB,17.58121639,17.5794001,1276,9.59,NC,SS,SS,SS,SS,,,,
I-16,WB,17.5794001,17.57496449,1277,23.42,T2,T2,T2,SS,SS,,,,
I-16,WB,17.57496449,17.57167851,1278,17.35,NC,NC,NC,NC,NC,,,,
I-16,WB,17.57167851,17.56869745,1279,15.74,NC,NC,NC,L1,L1,,,,
I-16,WB,17.56869745,17.56439441,1280,22.72,NC,NC,NC,NC,NC,,,,
